,ts,tx,ty,tz,rx,ry,rz,qx,qy,qz,qw,motor0,motor1
5665,1543539558.059656,0.06573681840896606,-0.26064583950042725,-0.12049884643554687,-0.4728883719283165,-0.0735682563951589,-1.6902959692392918,0.18209156394004822,-0.15138845145702362,0.7324807047843933,-0.6382759213447571,1024,5605
5666,1543539558.069655,0.06529884853363037,-0.26059334754943847,-0.12095007858276367,-0.4725905292665497,-0.07298104652241512,-1.688198160472352,0.18194356560707092,-0.15127979218959808,0.7317954897880554,-0.6391292810440063,1024,5605
5667,1543539558.079627,0.06496268324851989,-0.2605825681686401,-0.12118737030029296,-0.47255141758502184,-0.07269218735747994,-1.687182305620674,0.1819038689136505,-0.15126726031303406,0.7314550876617432,-0.6395331025123596,1024,5605
5668,1543539558.089627,0.06452885556221008,-0.2605437139511108,-0.12160594940185547,-0.4722682276633358,-0.07131506528616066,-1.6851884222380742,0.1814684420824051,-0.15143193304538727,0.7307493686676025,-0.6404239535331726,1043,5589
5669,1543539558.099707,0.06423023643493653,-0.2605246259689331,-0.12187664508819579,-0.4722238573494904,-0.07046294650920155,-1.6840687469035598,0.1812324970960617,-0.1515924334526062,0.7303386926651001,-0.6409210562705994,1043,5589
5670,1543539558.109656,0.06383526902198791,-0.2605264184951782,-0.12217835874557495,-0.47243504552335447,-0.06936055873469514,-1.683825952882385,0.18092210590839386,-0.15200760960578918,0.7301729917526245,-0.641099214553833,1043,5589
5671,1543539558.119636,0.06343769154548645,-0.26050347900390625,-0.12255327529907226,-0.4718036283572693,-0.06867813986094826,-1.6826229183580672,0.18056561052799225,-0.15189138054847717,0.7297905683517456,-0.6416624784469604,1043,5589
5672,1543539558.129656,0.06312115321159363,-0.2605041814804077,-0.12283260660171508,-0.47141017833085685,-0.06835468060109719,-1.6825059085458345,0.18033194541931152,-0.15184296667575836,0.7297617197036743,-0.6417723894119263,1043,5589
5673,1543539558.139626,0.06265260138511658,-0.2605225185394287,-0.12325463752746582,-0.47057477746223353,-0.06783250919409127,-1.6823069163253848,0.1798911839723587,-0.15169091522693634,0.7297271490097046,-0.6419714093208313,1043,5589
5674,1543539558.149655,0.06233984189033508,-0.26054984245300294,-0.12351376657485962,-0.47020940729450417,-0.06777101704551013,-1.6826069660545886,0.17972904443740845,-0.15160466730594635,0.7298471331596375,-0.6419007778167725,1043,5589
5675,1543539558.15966,0.06201025929450989,-0.2605830768585205,-0.12377920579910277,-0.4696026632147667,-0.06774151729222366,-1.6831705717616618,0.17948101460933685,-0.1514434665441513,0.730072021484375,-0.6417524218559265,1062,5571
5676,1543539558.169659,0.06156652426719665,-0.2605947525024414,-0.12416783275604247,-0.46852546632975395,-0.06811164088125023,-1.6836597292600728,0.17923159897327423,-0.1509731113910675,0.730334460735321,-0.6416342854499817,1062,5571
5677,1543539558.17963,0.06121647295951843,-0.2606138404846191,-0.12444652214050292,-0.46810216960884166,-0.06815275405685249,-1.6842059185977654,0.1790694147348404,-0.15085402131080627,0.7305443286895752,-0.6414687633514404,1062,5571
5678,1543539558.18963,0.06073767466545105,-0.26065233135223387,-0.12480134544372558,-0.4674553417850601,-0.06799422236261711,-1.6850369549911897,0.17874224483966827,-0.15074381232261658,0.7308493256568909,-0.6412384510040283,1062,5571
5679,1543539558.199627,0.060409702920913695,-0.2606819322586059,-0.12505594472885131,-0.4664696487149077,-0.06761827544682618,-1.6860233757597143,0.17821650207042694,-0.15059426426887512,0.7312154769897461,-0.6410024166107178,1062,5571
5680,1543539558.209654,0.060097282552719115,-0.2607101766586304,-0.12532163829803467,-0.46595502508528247,-0.06713153990710478,-1.686392525130423,0.17784832417964935,-0.15059778094291687,0.7313411235809326,-0.6409605145454407,1062,5571
5681,1543539558.219657,0.05967465209960937,-0.26076230525970456,-0.12562990436553956,-0.46496161861688157,-0.06691193379210617,-1.687123462521282,0.1773958057165146,-0.1503710001707077,0.7316359281539917,-0.6408026814460754,1081,5555
5682,1543539558.229655,0.05933014187812805,-0.26075523204803464,-0.1259404474258423,-0.46406820472200655,-0.0664974863176637,-1.6878726793656695,0.17690375447273254,-0.15024562180042267,0.7319164276123047,-0.6406477689743042,1081,5555
5683,1543539558.239626,0.05873483543395996,-0.26081460342407226,-0.12632366046905516,-0.46345167406189325,-0.06643239988245644,-1.6894622819921132,0.17656345665454865,-0.1501815915107727,0.732467532157898,-0.6401265859603882,1081,5555
5684,1543539558.249654,0.05838518381118774,-0.2608408372879028,-0.12658830032348634,-0.4626334820284907,-0.0665983396293487,-1.6899151319174277,0.17632758617401123,-0.14986780285835266,0.7326844930648804,-0.6400169134140015,1081,5555
5685,1543539558.259632,0.058023275184631344,-0.26086607799530026,-0.1268798886299133,-0.4619285043552996,-0.06665104650969779,-1.69051526522325,0.17607611417770386,-0.14964519441127777,0.7329326272010803,-0.6398540139198303,1081,5555
5686,1543539558.269656,0.05747826242446899,-0.26088652248382566,-0.12724717483520506,-0.46110822463439305,-0.06771559657277933,-1.6917079614664987,0.17610953748226166,-0.14910292625427246,0.733443021774292,-0.6393864154815674,1081,5555
5687,1543539558.27963,0.057145512628555294,-0.26088158092498775,-0.12754231185913084,-0.45997178664796834,-0.06798413251303098,-1.6920864821672497,0.1758151799440384,-0.1486320048570633,0.7336655855178833,-0.6393216848373413,1081,5555
5688,1543539558.28962,0.05664035935401916,-0.26086869411468505,-0.12788738527297974,-0.4593035279438053,-0.06868627550003897,-1.6928730441537938,0.1757972538471222,-0.14822746813297272,0.7340108156204224,-0.6390242576599121,1100,5539
